Tag(English),Tag(Japanese)
off_shoulder,オフショルダー
office,オフィス
office_chair,オフィスチェア
office_lady,OL（オフィスレディ）
official_alternate_costume,公式別衣装
official_style,公式スタイル
ofuda,お札
ogata_hyakunosuke,緒方百之助（咲-Saki-）
oil-paper_umbrella,油紙傘
ojou-sama_pose,お嬢様ポーズ
ok_sign,OKサイン
okazaki_tomoya,岡崎朋也（CLANNAD）
okazaki_yumemi,岡崎夢美（東方Project）
okinami_(kancolle),沖波（艦隊これくしょん）
okita_sougo,沖田総悟（銀魂）
okita_souji_(fate),沖田総司（Fate）
okita_souji_(koha/ace),沖田総司（コハ/エース）
old,年配
old_man,老人
old_school_swimsuit,旧スク水
old_woman,老女
older,年上
omaru_polka,尾丸ポルカ（ホロライブ）
omelet,オムレツ
omikuji,おみくじ
omurice,オムライス
on_back,仰向け
on_bed,ベッドの上
on_bench,ベンチの上
on_chair,椅子の上
on_couch,ソファの上
on_desk,机の上
on_floor,床の上
on_grass,芝生の上
on_ground,地面の上
on_head,頭の上
on_motorcycle,オートバイの上
on_shoulder,肩の上
on_side,横向き
on_stomach,うつ伏せ
on_table,テーブルの上
onbashira,御柱
one-hour_drawing_challenge,1時間ドローイングチャレンジ
one-piece_swimsuit,ワンピース水着
one-piece_tan,ワンピース型日焼け跡
one_breast_out,片乳露出
one_eye_closed,片目閉じ
one_eye_covered,片目隠し
one_knee,片膝
one_side_up,片方だけアップ
oni,鬼
oni_horns,鬼の角
oni_mask,鬼の面
onigiri,おにぎり
onion,玉ねぎ
onmyouji,陰陽師
onozuka_komachi,小野塚小町（東方Project）
onsen,温泉
ooarai_school_uniform,大洗女子学園制服（ガールズ&パンツァー）
ookami_mio,大神ミオ（ホロライブ）
oomuro_sakurako,大室櫻子（ゆるゆり）
oonusa,大麻
oosaki_amana,大崎甘奈（アイドルマスター シャイニーカラーズ）
oosaki_tenka,大崎甜花（アイドルマスター シャイニーカラーズ）
ooyodo_(kancolle),大和（艦隊これくしょん）
oozora_subaru,大空スバル（ホロライブ）
opaque_glasses,不透明メガネ
open-chest_sweater,胸開きセーター
open_belt,開いたベルト
open_book,開いた本
open_bra,開いたブラジャー
open_cardigan,開いたカーディガン
open_clothes,開いた服
open_coat,開いたコート
open_door,開いたドア
open_dress,開いたドレス
open_fly,開いたフライ
open_hand,開いた手
open_hands,開いた両手
open_hoodie,開いたフーディー
open_jacket,開いたジャケット
open_kimono,開いた着物
open_mouth,開いた口
open_pants,開いたパンツ
open_shirt,開いたシャツ
open_shorts,開いたショーツ
open_skirt,開いたスカート
open_window,開いた窓
oppai_loli,巨乳ロリ
oral,オーラル
oral_invitation,オーラル誘い
orange-tinted_eyewear,オレンジ色眼鏡
orange_(fruit),オレンジ（果物）
orange_background,オレンジの背景
orange_bikini,オレンジのビキニ
orange_bow,オレンジのリボン
orange_bowtie,オレンジのボウタイ
orange_choker,オレンジのチョーカー
orange_dress,オレンジのドレス
orange_eyes,オレンジの目
orange_flower,オレンジの花
orange_hair,オレンジの髪
orange_headwear,オレンジの頭飾り
orange_hoodie,オレンジのフーディー
orange_jacket,オレンジのジャケット
orange_kimono,オレンジの着物
orange_legwear,オレンジの脚衣
orange_leotard,オレンジのレオタード
orange_nails,オレンジの爪
orange_neckerchief,オレンジのネッカチーフ
orange_necktie,オレンジのネクタイ
orange_neckwear,オレンジのネックウェア
orange_panties,オレンジのパンティー
orange_pants,オレンジのパンツ
orange_pekoe_(girls_und_panzer),オレンジペコ（ガールズ&パンツァー）
orange_ribbon,オレンジのリボン
orange_sailor_collar,オレンジのセーラーカラー
orange_scarf,オレンジのスカーフ
orange_scrunchie,オレンジのスクランチ
orange_shirt,オレンジのシャツ
orange_skirt,オレンジのスカート
orange_sky,オレンジの空
orange_slice,オレンジスライス
orange_theme,オレンジのテーマ
orb,オーブ
orc,オーク
oreki_houtarou,折木奉太郎（氷菓）
orgasm,オーガズム
orgy,乱交
oribe_yasuna,織部やすな（東方Project）
origami,折り紙
orihara_izaya,折原臨也（デュラララ!!）
ornament,装飾品
otoko_no_ko,男の娘
otonashi_kotori,音無小鳥（アイドルマスター）
otonokizaka_school_uniform,音ノ木坂学院制服（ラブライブ！）
otter,カワウソ
otter_ears,カワウソの耳
otter_tail,カワウソの尾
ouma_kokichi,王馬小吉
oumae_kumiko,黄前久美子
out-of-frame_censoring,フレーム外検閲
out_of_frame,フレーム外
outdoors,屋外
outline,輪郭
outside_border,外枠
outstretched_arm,伸ばした腕
outstretched_arms,伸ばした両腕
outstretched_hand,伸ばした手
oven_mitts,オーブンミトン
over-rim_eyewear,リム上メガネ
over_shoulder,肩越し
overalls,オーバーオール
overcast,曇天
overcoat,オーバーコート
overflow,オーバーフロー
overgrown,生い茂った
oversized_clothes,特大サイズの服
oversized_object,特大サイズの物体
oversized_shirt,特大シャツ
ovum,卵子
owl,フクロウ
own_hands_clasped,自分の手を組み合わせた
own_hands_together,自分の手を合わせた
oyashio_(kancolle),親潮(艦隊これくしょん)
p-head_producer,P-Head Producer
p90,P90
pacifier,おしゃぶり
paddle,パドル
padlock,南京錠
page_number,ページ番号
pagoda,パゴダ
paimon_(genshin_impact),パイモン(原神)
pain,痛み
paint,ペンキ
paint_splatter,ペンキの飛沫
paintbrush,絵筆
painting,絵画
painting_(medium),絵画(媒体)
painting_(object),絵画(物体)
paizuri,パイズリ
paizuri_under_clothes,服の上からのパイズリ
pajamas,パジャマ
pale_color,淡色
pale_skin,青白い肌
palette_(object),パレット(物体)
palm_leaf,ヤシの葉
palm_tree,ヤシの木
palms,手のひら
palms_together,合掌
pancake,パンケーキ
panda,パンダ
panicking,パニック状態
panties,パンティー
panties_around_one_leg,片足に引っかけたパンティー
panties_aside,パンティーをよける
panties_on_head,頭の上のパンティー
panties_removed,パンティー脱ぎ
panties_under_buruma,ブルマ下のパンティー
panties_under_pantyhose,パンスト下のパンティー
pants,パンツ
pants_pull,パンツを引っ張る
panty_peek,パンティーのぞき見
panty_pull,パンティーを引っ張る
pantyhose,パンスト
pantyhose_pull,パンストを引っ張る
pantylines,パンティーライン
pantyshot,パンツショット
papakha,パパーハ
paper,紙
paper_airplane,紙飛行機
paper_bag,紙袋
paper_crane,折り鶴
paper_fan,扇子
paper_lantern,提灯
papers,書類
parasol,パラソル
parfait,パフェ
park,公園
park_bench,公園のベンチ
parka,パーカ
parody,パロディ
parrot,オウム
parted_bangs,分け前髪
parted_lips,開いた唇
partially_colored,部分的着色
partially_fingerless_gloves,フィンガーレスグローブ
partially_submerged,部分的に水中
partially_underwater_shot,部分的水中ショット
partially_visible_vulva,部分的に見える陰部
party_hat,パーティーハット
party_popper,クラッカー
pasta,パスタ
pastel_colors,パステルカラー
pasties,ニップレス
pastry,ペイストリー
patchouli_knowledge,パチュリー・ノーレッジ
path,小道
patreon_username,Patreonユーザー名
patterned,柄付き
patterned_background,柄付き背景
pauldrons,肩当て
pavement,舗装
paw_gloves,肉球グローブ
paw_pose,肉球ポーズ
paw_print,肉球プリント
paw_print_background,肉球プリント背景
paw_shoes,肉球シューズ
peach,桃
peaked_cap,尖り帽子
pearl_(gemstone),真珠(宝石)
pearl_bracelet,真珠ブレスレット
pearl_necklace,真珠ネックレス
pecorine_(princess_connect!),ペコリーヌ(プリンセスコネクト！)
pectorals,大胸筋
pee,おしっこ
peeing,排尿中
peeing_self,失禁
peeking_out,のぞき見
pegasus,ペガサス
pelt,毛皮
pelvic_curtain,恥骨カーテン
pen,ペン
pencil,鉛筆
pencil_case,筆箱
pencil_skirt,ペンシルスカート
pendant,ペンダント
penguin,ペンギン
penis,陰茎
penis_awe,陰茎畏敬
penis_grab,陰茎をつかむ
penis_in_panties,パンティー中の陰茎
penis_on_face,顔上の陰茎
penises_touching,陰茎同士の接触
pennant,ペナント
pentagram,五芒星
perfume_bottle,香水瓶
perineum,会陰
perpendicular_paizuri,垂直パイズリ
perrine_h._clostermann,ぺリーヌ・クロステルマン
personification,擬人化
perspective,遠近法
pervert,変態
pet,ペット
pet_bowl,ペット用ボウル
pet_play,ペットプレイ
petals,花びら
petals_on_liquid,液体上の花びら
petite,小柄
petticoat,ペチコート
petting,撫でる
phimosis,包茎
phoenix,フェニックス
phone,電話
phone_screen,電話画面
photo_(medium),写真(媒体)
photo_(object),写真(物体)
photo_background,写真背景
photo_inset,写真挿入
photorealistic,フォトリアル
piano,ピアノ
pickaxe,つるはし
picnic,ピクニック
picnic_basket,ピクニックバスケット
picture_(object),絵(物体)
picture_frame,写真立て
pie,パイ
pier,桟橋
piercing,ピアス
pig,豚
pigeon,鳩
pigeon-toed,内股
piggyback,おんぶ
pikachu,ピカチュウ
pill,錠剤
pill_earrings,錠剤イヤリング
pillar,柱
pillarboxed,ピラーボックス
pillow,枕
pillow_grab,枕をつかむ
pillow_hug,枕を抱きしめる
pilot_suit,パイロットスーツ
pinafore_dress,ピナフォアドレス
pince-nez,鼻眼鏡
pinching,つねる
pinching_sleeves,袖をつまむ
pine_tree,松の木
pink-framed_eyewear,ピンク枠メガネ
pink_apron,ピンクエプロン
pink_background,ピンク背景
pink_bag,ピンクのバッグ
pink_bikini,ピンクのビキニ
pink_blood,ピンクの血
pink_border,ピンク枠
pink_bow,ピンクのリボン
pink_bowtie,ピンクの蝶ネクタイ
pink_bra,ピンクのブラジャー
pink_camisole,ピンクキャミソール
pink_capelet,ピンクケープレット
pink_cardigan,ピンクカーディガン
pink_choker,ピンクチョーカー
pink_coat,ピンクコート
pink_collar,ピンクカラー
pink_dress,ピンクドレス
pink_eyes,ピンクの目
pink_flower,ピンクの花
pink_footwear,ピンクの履物
pink_gloves,ピンクの手袋
pink_hair,ピンク髪
pink_hairband,ピンクヘアバンド
pink_headwear,ピンクの頭飾り
pink_hoodie,ピンクフーディー
pink_jacket,ピンクジャケット
pink_kimono,ピンク着物
pink_legwear,ピンクの脚衣
pink_leotard,ピンクレオタード
pink_lips,ピンクの唇
pink_nails,ピンクの爪
pink_neckerchief,ピンクネッカチーフ
pink_necktie,ピンクネクタイ
pink_neckwear,ピンク首飾り
pink_pajamas,ピンクパジャマ
pink_panties,ピンクパンティー
pink_pants,ピンクパンツ
pink_ribbon,ピンクリボン
pink_rose,ピンクのバラ
pink_sailor_collar,ピンクセーラーカラー
pink_scarf,ピンクスカーフ
pink_scrunchie,ピンクスクランチ
pink_shirt,ピンクシャツ
pink_shorts,ピンクショーツ
pink_skirt,ピンクスカート
pink_sweater,ピンクセーター
pink_swimsuit,ピンク水着
pink_theme,ピンクテーマ
pink_umbrella,ピンク傘
pink_vest,ピンクベスト
pink_wings,ピンクの翼
pinky_out,小指立て
pinstripe_pattern,ピンストライプ柄
pinstripe_shirt,ピンストライプシャツ
pinstripe_suit,ピンストライプスーツ
pinwheel,風車
pipe,パイプ
pirate,海賊
pirate_hat,海賊帽
pistol,ピストル
pit_(kid_icarus),ピット(光神話)
pith_helmet,木綿ヘルメット
pixel_art,ピクセルアート
pixelated,ピクセル化
pixiv_id,Pixiv ID
pizza,ピザ
pizza_slice,ピザのスライス
plaid,格子柄
plaid_background,格子柄背景
plaid_bikini,格子柄ビキニ
plaid_bow,格子柄リボン
plaid_bowtie,格子柄蝶ネクタイ
plaid_bra,格子柄ブラジャー
plaid_dress,格子柄ドレス
plaid_headwear,格子柄頭飾り
plaid_jacket,格子柄ジャケット
plaid_legwear,格子柄脚衣
plaid_necktie,格子柄ネクタイ
plaid_neckwear,格子柄首飾り
plaid_panties,格子柄パンティー
plaid_pants,格子柄パンツ
plaid_ribbon,格子柄リボン
plaid_scarf,格子柄スカーフ
plaid_shirt,格子柄シャツ
plaid_skirt,格子柄スカート
plaid_vest,格子柄ベスト
planet,惑星
plant,植物
plant_girl,植物少女
plantar_flexion,底屈
planted,植えられた
planted_sword,地面に刺した剣
plastic_bag,ビニール袋
plate,皿
platelet_(hataraku_saibou),血小板(はたらく細胞)
platform_footwear,厚底靴
platinum_blonde_hair,プラチナブロンド髪
playboy_bunny,プレイボーイバニー
playboy_bunny_leotard,プレイボーイバニーレオタード
playing_card,トランプ
playing_games,ゲーム中
playing_instrument,楽器演奏中
playstation_controller,PlayStationコントローラー
playstation_portable,PlayStation Portable
pleated_skirt,プリーツスカート
plectrum,ピック
plum_blossoms,梅の花
plump,ふっくら
plunging_neckline,深いネックライン
pneuma_(xenoblade),ノア(ゼノブレイド)
pocket,ポケット
pocket_watch,懐中時計
pocky,ポッキー
pocky_day,ポッキーの日
pocky_kiss,ポッキーダイス
pointer,ポインタ
pointing,指さし
pointing_at_viewer,鑑賞者を指さし
pointing_up,上を指さし
pointless_censoring,無意味な検閲
pointless_condom,無意味なコンドーム
pointy_ears,尖った耳
pointy_footwear,尖った靴
poke_ball,モンスターボール
poke_ball_(basic),モンスターボール(基本)
poke_ball_print,モンスターボールプリント
poke_ball_symbol,モンスターボールシンボル
pokemon_(creature),ポケモン(生物)
poker_chip,ポーカーチップ
poking,つつく
pola_(kancolle),ポーラ(艦隊これくしょん)
polar_bear,シロクマ
pole,棒
pole_dancing,ポールダンス
polearm,長柄武器
police,警察
police_hat,警察帽
police_uniform,警察制服
policewoman,女性警察官
polka_dot,水玉模様
polka_dot_background,水玉背景
polka_dot_bikini,水玉ビキニ
polka_dot_bow,水玉リボン
polka_dot_bra,水玉ブラジャー
polka_dot_dress,水玉ドレス
polka_dot_headwear,水玉頭飾り
polka_dot_legwear,水玉脚衣
polka_dot_panties,水玉パンティー
polka_dot_ribbon,水玉リボン
polka_dot_scrunchie,水玉スクランチ
polka_dot_shirt,水玉シャツ
polka_dot_skirt,水玉スカート
polka_dot_swimsuit,水玉水着
polo_shirt,ポロシャツ
polos_crown,ポロスの冠
pom_pom_(cheerleading),ポンポン(応援)
pom_pom_(clothes),ポンポン(衣装)
pond,池
ponytail,ポニーテール
pool,プール
pool_ladder,プールの梯子
pool_of_blood,血の池
poolside,プールサイド
popped_collar,立てカラー
popplio,アシマリ
popsicle,アイスキャンディー
porch,ポーチ
pornography,ポルノグラフィ
portrait,ポートレート
pose,ポーズ
post-apocalypse,ポストアポカリプス
poster_(medium),ポスター(媒体)
poster_(object),ポスター(物体)
pot,鍋
potato,ジャガイモ
potato_chips,ポテトチップス
potted_plant,鉢植え
pouch,ポーチ
pouring,注ぐ
pout,ふくれっ面
pov,主観視点
pov_across_table,テーブル越し主観視点
pov_hands,手の主観視点
power_lines,電線
power_symbol,電源マーク
pramanix_(arknights),プラマニクス(アークナイツ)
pravda_military_uniform,プラウダ軍服
prayer_beads,数珠
praying,祈り中
precum,先走り液
pregnant,妊娠中
presenting,差し出し
priest,司祭
priest_(ragnarok_online),プリースト(Ragnarok Online)
princess,王女
princess_carry,お姫様抱っこ
princess_king_boo,キングテレサ姫
print_bikini,プリントビキニ
print_bow,プリントリボン
print_bowtie,プリント蝶ネクタイ
print_bra,プリントブラジャー
print_dress,プリントドレス
print_gloves,プリント手袋
print_headwear,プリント頭飾り
print_jacket,プリントジャケット
print_kimono,プリント着物
print_legwear,プリント脚衣
print_mug,プリントマグ
print_neckwear,プリント首飾り
print_panties,プリントパンティー
print_sarong,プリントサロン
print_shirt,プリントシャツ
print_skirt,プリントスカート
prinz_eugen_(azur_lane),プリンツ・オイゲン(アズールレーン)
prison,刑務所
prison_clothes,囚人服
producer_(idolmaster),プロデューサー(アイドルマスター)
producer_(idolmaster_cinderella_girls_anime),プロデューサー(アイマス シンデレラガールズ劇場)
product_placement,プロダクトプレイスメント
profile,プロフィール
projected_inset,投影挿入
projectile_cum,発射精液
prone_bone,腹ばい後背位
prostitution,売春
protecting,保護中
pubic_hair,陰毛
pubic_tattoo,陰毛部タトゥー
public_indecency,公然わいせつ
public_nudity,公然のヌード
public_use,公衆使用
pudding,プリン
puddle,水たまり
puffy_cheeks,膨らんだ頬
puffy_long_sleeves,ふんわり長袖
puffy_nipples,膨らみ乳首
puffy_short_sleeves,ふんわり半袖
puffy_shorts,ふんわりショーツ
puffy_sleeves,ふんわり袖
pulled_by_another,他者に引っ張られる
pulled_by_self,自分で引っ張る
pulling,引っ張る
pumpkin,カボチャ
pumpkin_hair_ornament,カボチャ髪飾り
pumpkin_hat,カボチャ帽子
punching,パンチ中
puppet,人形
puppy,子犬
purple-framed_eyewear,紫枠メガネ
purple_background,紫背景
purple_bikini,紫ビキニ
purple_bow,紫リボン
purple_bowtie,紫蝶ネクタイ
purple_bra,紫ブラジャー
purple_cape,紫ケープ
purple_choker,紫チョーカー
purple_dress,紫ドレス
purple_eyes,紫の目
purple_fire,紫の炎
purple_flower,紫の花
purple_gloves,紫の手袋
purple_hair,紫髪
purple_hairband,紫ヘアバンド
purple_hakama,紫袴
purple_headwear,紫の頭飾り
purple_jacket,紫ジャケット
purple_kimono,紫着物
purple_legwear,紫の脚衣
purple_leotard,紫レオタード
purple_nails,紫の爪
purple_necktie,紫ネクタイ
purple_panties,紫パンティー
purple_pants,紫パンツ
purple_ribbon,紫リボン
purple_rose,紫のバラ
purple_scarf,紫スカーフ
purple_scrunchie,紫スクランチ
purple_shirt,紫シャツ
purple_shorts,紫ショーツ
purple_skirt,紫スカート
purple_sweater,紫セーター
purple_swimsuit,紫水着
purple_theme,紫テーマ
purple_umbrella,紫傘
purple_wings,紫の翼
pussy,おまんこ
pussy_juice,マン汁
pussy_juice_drip_through_clothes,服越しのマン汁滴り
pussy_juice_puddle,マン汁水たまり
pussy_juice_stain,マン汁染み
pussy_juice_trail,マン汁の筋
pyrokinesis,パイロキネシス
quad_tails,四つ尾
quarter_note,四分音符
queen_(chess),クイーン(チェス)
quill,羽ペン
quiver,矢筒
rabbit_ears,ウサギ耳
rabbit_girl,ウサギ少女
rabbit_house_uniform,ラビットハウス制服
rabbit_tail,ウサギ尾
rabbit_yukine,ユキネウサギ
raccoon_ears,アライグマ耳
raccoon_tail,アライグマ尾
race_queen,レースクイーン
rachel_alucard,レイチェル・アルカード
racket,ラケット
raglan_sleeves,ラグランスリーブ
ragna_the_bloodedge,ラグナ＝ザ＝ブラッドエッジ
raichu,ライチュウ
raiden_mei,雷電芽衣
railing,手すり
railroad_tracks,線路
rain,雨
rainbow,虹
rainbow_background,虹背景
rainbow_order,虹色順
raincoat,レインコート
raised_eyebrows,上げ眉
raised_fist,上げた拳
raising_heart,レイジングハート
ram_(re:zero),ラム(Re:ゼロ)
ramen,ラーメン
ramune,ラムネ
randoseru,ランドセル
ranguage,ランゲージュ
ranka_lee,ランカ・リー
ranma-chan,らんまちゃん
rape,レイプ
rapier,レイピア
rating:explicit,レイティング:過激
rating:questionable,レイティング:微妙
rating:safe,レイティング:健全
ray_gun,レイガン
reach-around,リーチアラウンド
reaching,届こうとする
reaching_out,手を差し伸べる
reading,読書中
ready_to_draw,描画準備中
real_world_location,実世界の場所
realistic,リアル
reclining,もたれかかる
recorder,リコーダー
recording,録音中
rectangular_eyewear,四角眼鏡
rectangular_mouth,四角い口
red-framed_eyewear,赤枠メガネ
red-tinted_eyewear,赤色メガネ
red_apple,赤リンゴ
red_ascot,赤アスコット
red_background,赤背景
red_bag,赤バッグ
red_belt,赤ベルト
red_bikini,赤ビキニ
red_border,赤枠
red_bow,赤リボン
red_bowtie,赤蝶ネクタイ
red_bra,赤ブラジャー
red_buruma,赤ブルマ
red_cape,赤ケープ
red_capelet,赤ケープレット
red_choker,赤チョーカー
red_cloak,赤マント
red_coat,赤コート
red_collar,赤カラー
red_cross,赤十字
red_dress,赤ドレス
red_eyes,赤目
red_flower,赤い花
red_footwear,赤い履物
red_gloves,赤手袋
red_hair,赤髪
red_hairband,赤ヘアバンド
red_hakama,赤袴
red_headband,赤ハチマキ
red_headwear,赤頭飾り
red_hood,赤頭巾
red_hoodie,赤フーディー
red_horns,赤い角
red_jacket,赤ジャケット
red_kimono,赤着物
red_legwear,赤脚衣
red_leotard,赤レオタード
red_moon,赤い月
red_nails,赤い爪
red_neckerchief,赤ネッカチーフ
red_necktie,赤ネクタイ
red_neckwear,赤首飾り
red_panties,赤パンティー
red_pants,赤パンツ
red_ribbon,赤リボン
red_rope,赤ロープ
red_rose,赤バラ
red_sailor_collar,赤セーラーカラー
red_scarf,赤スカーフ
red_scrunchie,赤スクランチ
red_shirt,赤シャツ
red_shorts,赤ショーツ
red_skirt,赤スカート
red_sky,赤い空
red_sleeves,赤い袖
red_sweater,赤セーター
red_swimsuit,赤水着
red_theme,赤テーマ
red_umbrella,赤傘
red_vest,赤ベスト
red_wings,赤い翼
reference_inset,参照挿入
reflection,反射
reflective_floor,反射床
reflective_water,反射水
refrigerator,冷蔵庫
regina_(dokidoki!_precure),レジーナ(ドキドキ!プリキュア)
rei_no_himo,礼の紐
rei_no_pool,礼のプール
reindeer,トナカイ
reindeer_antlers,トナカイの角
reindeer_costume,トナカイ衣装
reines_el-melloi_archisorte,ライネス・エルメロイ・アーチゾルテ
reinforce,レインフォース
reinforce_zwei,レインフォースツヴァイ
reins,手綱
reisen_udongein_inaba,鈴仙・優曇華院・イナバ
reiuji_utsuho,霊烏路空
reiuji_utsuho_(bird),霊烏路空(鳥)
reizei_mako,冷泉麻子
rem_(re:zero),レム(Re:ゼロ)
remilia_scarlet,レミリア・スカーレット
remodel_(kantai_collection),改造(艦隊これくしょん)
remote_control,リモコン
remote_control_vibrator,リモコン式バイブ
rena_erindel,レナ・エリンデル
rensouhou-chan,連装砲ちゃん
restaurant,レストラン
restrained,拘束中
restroom,トイレ
retro_artstyle,レトロ画風
revealing_clothes,露出度の高い服
reverse_cowgirl_position,逆騎乗位
reverse_grip,逆手持ち
reverse_suspended_congress,逆吊り正常位
reverse_trap,逆トラップ
reverse_upright_straddle,逆立ち騎乗位
revolver,リボルバー
rias_gremory,リアス・グレモリー
ribbed_legwear,リブ脚衣
ribbed_shirt,リブシャツ
ribbed_sleeves,リブ袖
ribbed_sweater,リブセーター
ribbon,リボン
ribbon-trimmed_bra,リボン飾りブラ
ribbon-trimmed_legwear,リボン飾り脚衣
ribbon-trimmed_sleeves,リボン飾り袖
ribbon_bondage,リボン拘束
ribbon_choker,リボンチョーカー
ribbon_in_mouth,口のリボン
ribbon_trim,リボントリム
rice,米
rice_bowl,ご飯茶碗
rice_on_face,顔の米粒
riding,騎乗
riding_crop,乗馬鞭
riding_pokemon,ポケモン騎乗
riesz,リース
rifle,ライフル
rigging,艤装
rimless_eyewear,リムレス眼鏡
ring,指輪
ring_gag,リングギャグ
ringlets,リングレット
ripples,さざ波
rising_sun,旭日
rita_mordio,リタ・モルディオ
river,川
riyo_(lyomsnpmp)_(style),リヨ(スタイル)
ro-500_(kancolle),呂500(艦隊これくしょん)
road,道路
road_sign,道路標識
robe,ローブ
robin_(fire_emblem),ロビン(ファイアーエムブレム)
robin_(fire_emblem)_(female),ロビン(ファイアーエムブレム)(女性)
roboco-san,ロボ子さん
robot,ロボット
robot_ears,ロボット耳
robot_joints,ロボット関節
rock,岩
rocket,ロケット
rocket_launcher,ロケットランチャー
role_reversal,役割逆転
roman_numeral,ローマ数字
rooftop,屋上
rook_(chess),ルーク(チェス)
room,部屋
rooster,雄鶏
rope,ロープ
rosa_(pokemon),ベル(ポケモン)
rosalina,ロゼッタ
rose,バラ
rose_petals,バラの花びら
rose_print,バラプリント
rotom,ロトム
rotom_phone,ロトムフォン
round_eyewear,丸眼鏡
round_teeth,丸い歯
round_window,丸窓
roy_mustang,ロイ・マスタング
royal_penguin_(kemono_friends),ロイヤルペンギン(けものフレンズ)
rubber_boots,ゴム長靴
rubber_duck,ラバーダック
rubbing_eyes,目をこする
rubble,瓦礫
ruby_(gemstone),ルビー(宝石)
ruby_rose,ルビー・ローズ
rug,ラグ
ruins,遺跡
ruler,定規
rumia,ルーミア
runes,ルーン文字
running,走っている
russian_text,ロシア語テキスト
rx-78-2,RX-78-2
rydia_(ff4),リディア(FF4)
ryona,リョナ
ryougi_shiki,両儀式
ryouou_school_uniform,龍王学校制服
ryuuguu_rena,竜宮レナ
ryuujou_(kancolle),龍驤(艦隊これくしょん)
saber,セイバー
saber_alter,セイバーオルタ
sack,袋
sad,悲しい
saddle,鞍
sadism,サディズム
sagisawa_fumika,鷺沢文香
saigyouji_yuyuko,西行寺幽々子
saihara_shuuichi,最原終一
sailor,セーラー
sailor_bikini,セーラービキニ
sailor_collar,セーラーカラー
sailor_dress,セーラードレス
sailor_hat,セーラーハット
sailor_jupiter,セーラージュピター
sailor_moon_redraw_challenge,セーラームーン再描画チャレンジ
saint_quartz_(fate),聖晶石(Fate)
sairenji_haruna,西蓮寺春菜
sakagami_tomoyo,坂上智代
sakamoto_mio,坂本美緒
sakata_kintoki_(fate),坂田金時(Fate)
sakawa_(kancolle),酒匂(艦隊これくしょん)
sakazuki,盃
sake,酒
sake_bottle,酒瓶
sakuma_mayu,佐久間まゆ
sakura_chiyo,桜千代
sakura_futaba,桜フタバ
sakura_kyouko,佐倉杏子
sakura_miko,さくらみこ
sakura_miku,桜ミク
sakurajima_mai,桜島麻衣
sakurauchi_riko,桜内梨子
salad,サラダ
saliva,唾液
saliva_trail,唾液の筋
salute,敬礼
sam_browne_belt,サム・ブラウンベルト
samidare_(kancolle),五月雨(艦隊これくしょん)
sample,サンプル
samuel_b._roberts_(kancolle),サミュエル・B・ロバーツ(艦隊これくしょん)
samurai,侍
sanageyama_uzu,猿投山渦
sand,砂
sand_castle,砂の城
sand_cat_(kemono_friends),スナネコ(けものフレンズ)
sand_sculpture,砂像
sandals,サンダル
sandals_removed,脱いだサンダル
sandwich,サンドイッチ
sandwiched,サンドイッチ状態
saniwa_(touken_ranbu),審神者(刀剣乱舞)
sans,サンズ
sanshoku_dango,三色団子
santa_bikini,サンタビキニ
santa_boots,サンタブーツ
santa_costume,サンタ衣装
santa_dress,サンタドレス
santa_gloves,サンタ手袋
santa_hat,サンタ帽
sanya_v._litvyak,サーニャ・V・リトヴャク
sanzen'in_nagi,三千院ナギ
saotome_ranma,早乙女乱馬
sapphire_birch,サファイアバーチ
sarashi,さらし
saratoga_(kancolle),サラトガ(艦隊これくしょん)
saria_(arknights),サリア(アークナイツ)
sarong,サロン
sasaki_chie,佐々木千枝
sash,サッシュ
satchel,ショルダーバッグ
saten_ruiko,佐天涙子
satin,サテン
satin_panties,サテンパンティー
satou_kazuma,佐藤和真
saucer,ソーサー
sauna,サウナ
sausage,ソーセージ
sawa_azusa,沢アズサ
sayo_samonji,佐世保三文字
sazanami_(kancolle),漣(艦隊これくしょん)
scabbard,鞘
scales,鱗
scalpel,メス
scar,傷跡
scar_on_cheek,頬の傷
scar_on_face,顔の傷
scared,怖がっている
scarf,スカーフ
scarf_over_mouth,口のスカーフ
scarlet_devil_mansion,紅魔館
scathach_(fate),スカサハ(Fate)
scenery,風景
scepter,笏
school,学校
school_bag,スクールバッグ
school_briefcase,スクールブリーフケース
school_chair,学校の椅子
school_desk,学校の机
school_hat,学校帽
school_swimsuit,スクール水着
school_uniform,スクール水着
science_fiction,サイエンスフィクション
scissors,ハサミ
scooter,スクーター
scope,スコープ
scorbunny,ヒバニー
scowl,しかめ面
scratches,引っかき傷
screen,画面
screentones,スクリーントーン
scroll,巻物
scrunchie,スクランチ
scythe,大鎌
seagull,カモメ
seal_(animal),アザラシ
seamed_legwear,縫い目付き脚衣
seashell,貝殻
seat,座席
seatbelt,シートベルト
seaweed,海藻
seductive_smile,誘惑的な笑み
see-through,透け
see-through_silhouette,透けシルエット
seele_vollerei,ゼーレ・ヴォルレーレ
seeu,シウ
seikan_hikou,星間飛行
seiren_(suite_precure),セイレーン(スイートプリキュア)
seiza,正座
sekibanki,赤蛮奇
selene_(pokemon),セレナ(ポケモン)
self_fondle,自己愛撫
self_hug,自己抱擁
selfie,自撮り
semi-rimless_eyewear,セミリムレス眼鏡
sendai_(kancolle),川内(艦隊これくしょん)
sendai_hakurei_no_miko,仙台博麗の巫女
